question,answer,keywords
"For the electrochemical cell, Mg(s)|Mg2+(aq, 1M)||Cu2+ (aq, 1M) | Cu(s) the standard emf of the cell is 2.70 V at 300 K. When the concentration of Mg2+ is changed to x M, the cell potential changes to 2.67 V at 300 K. The value of x is____. (given, F/R = 11500 KV–1, where F is the Faraday constant and R is the gas constant, ln(10) = 2.30).",Mg(s) + Cu 2+ (aq) → Mg 2+ (aq) + Cu(s) E o cell = 2.70; Ecell = 2.67; Mg 2+ = x M; Cu 2+ = 1 M Ecell = E o cell − RT / nF lnx 2.67 = 2.70 − RT / 2Flnx −0.03=−2FR×300×lnx lnx = 0.03 × 2 / 300 × F / R lnx = 0.03 × 2 × 11500 / 300×1 lnx = 2.30 = ln(10) ∴ x = 10,ratio potential electrochemical concentration
"The molar conductivity of a solution of a weak acid HX(0.01 M) is 10 times smaller than the molar conductivity of a solution of a weak acid HY(0.1 M). If λ o x ≈ λ o y , the difference in their pKa values, pKa (HX) − pKa (HY), is (consider the degree of ionization of both acids to be <<1).",α1 / α2 = ∧m(HX) / ∧o m (HX) / ∧m(HY) / ∧o m (HY) = 1 / 10 Ka (HX) / Ka (HY) = C1α 2 1 / C2α 2 2 = 0.01 / 0.1 × (1 / 10) 2 =1 / 1000 log Ka (HX) − logKa (HY) = −3 ∴ pKa (HX) − pKa (HY) = 3,acid
"All the energy released from the reaction X → Y, ∆r G o = -193J mol -1 is used for oxidizing M+ as M+ → M3 + + 2e - , E o = -0.25V. Under standard conditions, the number of moles of M+ oxidized when one mole of X is converted to Y is [F = 96500 C mol -1 ].","M+ → M3 + + 2e - Given X → Y, ∆r G o = -193J mol -1 △G o for above reaction is: △G o = −nF E o = −2 × 96500 × (−0.25) = 48250 J/mol = 48.25k J/mol ∴ The number of moles of M+ oxidised from (X→Y). = 193 / 48.25 = 4",energy reaction
"In a galvanic cell, the salt bridge: A. Does not participate chemically in the cell reaction B. Stops the diffusion of ions from one electrode to another C. Is necessary for the occurrence of the cell reaction D. Ensures mixing of the two electrolytic solutions","A salt bridge, in electrochemistry, is a laboratory device used to connect the oxidation and reduction half cells of a galvanic cell(voltaic cell), a type of electrochemical cell. It maintains electrical neutrality within the internal circuit, preventing the cell from rapidly running its reaction to equilibrium. If no salt bridge were present, the solution in the one-half cell would accumulate a negative charge and the solution in the other half cell would accumulate a positive charge as the reaction proceeded, quickly preventing further reaction, and hence the production of electricity. Salt bridge keeps the solutions in two half-cells electrically neutral. It prevents transference or diffusion of the ions from one half-cell to the other",electrochemical equilibrium chemical_equilibrium oxidation reduction reaction electric electrode
"Consider a 70% efficient hydrogen-oxygen fuel cell working under standard conditions at 1 bar and 298 K. Its cell reaction is; H2 (g) + ½ O2 (g) → H2O(l) The work derived from the cell on the consumption of 1.0 × 10 -3 mol of H2 (g) is used to compress 1.00 mol of a monoatomic ideal gas in a thermally insulated container. What is the change in the temperature (in K) of the ideal gas? The standard reduction potentials for the two half-cells are given below. O2 (g) + 4H+(aq) + 4e - → 2 H2O (l),...","For given reaction: H2 (g) + ½ O2 (g) → H2O(l) E o = 1.23 V ∆G o = –nF E o cell {-2 x 96500 x 1.23} J Since, Work derived from this fuel cell = 70 / 100 x (-∆G o cell) x 10 -3 = x J Since insulated vessel, hence q = 0 From equation, for monoatomic gas, w = ∆U ⇒ x = nCv , m∆T; {CV,m = 3R / 2} Or 70 / 100 x (2 × 96500 × 1.23) × 10 -3 = 1 × 3 / 2 × 8.314 × ∆T ∴ ∆T = 13.32",potential equation reduction reaction hydrogen atom temperature
"For the following cell, Zn(s) | ZnSO4 (aq) || CuSO4 (aq) | Cu(s) when the concentration of Zn 2+ is 10 times the concentration of Cu 2+ , the expression for ΔG (in J mol–1) is [F is Faraday constant; R is gas constant; T is temperature; E° (cell) = 1.1V]. A. 1.1F B. 2.303RT – 2.2F C. 2.303RT + 1.1F D. – 2.2F","Zn + Cu 2+ (aq) → Zn 2+ (aq) + Cu We know that, E = E o − RT / nF ln [Zn 2+ ] / [Cu 2+ ] ∴ E = 1.1 − RT / 2F ln10 Now, ΔG = −nFE Here n = 2 ∴ △G = −2F[1.1 − RT / 2F ln10] = −2.2F + RT log10 10 × 2.303 ∴ △G = 2.303RT − 2.2F",ratio temperature concentration
AgNO3 (aq.) was added to an aqueous KCl solution gradually and the conductivity of the solution was measured. The plot of conductance (Λ) versus the volume of AgNO3 is.,"Initially, to the solution of KCl, solution of AgNO3 added, AgCl(s) is formed. Hence, the conductivity of the solution is almost compensated (or slightly increased) by the formation of KNO3 . After the endpoint, conductivity increases more rapidly because of the addition of excess AgNO3 solution. The plot of conductance (Λ) versus the volume of AgNO3 is as given by (S). This is as explained below. Initial conductance (Λ) of the solution was due to K(aq.)+ and Cl(aq.)−. On addition of AgNO3 , the reaction occurs as, AgNO3 (aq.) + KCl(aq.) → AgCl↓ + KNO3 AgNO3 acts as a limiting reagent up to complete precipitation. The conductance up to precipitation is a straight line parallel to the x-axis due to the replacement of Cl - ions with NO3 - ions (ionic mobility of NO3",plot volume reaction ionic
"The option(s) with only amphoteric oxides is(are) A. Cr2O3, BeO, SnO, SnO2 B. Cr2O3, CrO, SnO, PbO C. NO, B2O3, PbO, SnO2 D. ZnO, Al2O3, PbO, PbO2","Amphoteric oxides are Cr2O3, BeO, SnO, SnO2, ZnO, Al2O3, PbO, PbO2 NO is a neutral oxide CrO is a basic oxide B2O3 is an acidic oxide",ph acid
"The statement that is not correct for periodic classification of elements is. A. The properties of elements are the periodic functions of their atomic numbers B. Nonmetallic elements are less in number than metallic elements. C. For transition elements, the 3d-orbitals are filled with electrons after 3p-orbitals and before 4s-orbitals. D. The first ionisation enthalpies of elements generally increases with an increase in atomic number as we go along a period.","In cases of transition elements (or any elements), the order of filling of electrons in the various orbital is 3p < 4s <3d, Thus 3d orbital is filled when 4s orbital gets completely filled (Aufbau Principle). According to Aufbau Principle, the ground state of an atom or ion e_s fill atomic orbitals of the lowest available energy levels before occupying higher levels.",electron orbit energy atom atomic_structure
"The 1st, 2nd, and the 3rd ionization enthalpies, 𝐼1, 𝐼2, and 𝐼3, of four atoms with atomic numbers n, 𝑛 + 1, 𝑛 + 2, and 𝑛 + 3, where 𝑛 < 10, are tabulated below. What is the value of n?","According to the tabulated data, Element with Atomic number (n + 2), should be an alkali metal As we see, the first ionization enthalpy (I1) is very less but the second ionization enthalpy (I2) is very large. Hence, the atomic number can be = 11 That is, (n + 2) = 11 n = 9 Note: ‘n’ can’t be ‘1’.",atom
"Among the following, O, Cl, F, N, P, Sn, Tl, Na, Ti The number of elements showing only one non – zero oxidation state is","Only F and Na show only one non – zero oxidation state. Thus, the number of elements showing only one non-zero oxidation state is 2. Na exhibits +1 and F exhibits only -1 oxidation state are the two elements. O = O–, O2-, O2+ Cl = -1 to + 7 N = -3 to +5 P = -3 to + 5 Sn = +2, +4 Tl = +1, +3 (rare but does exist) Ti = +2, +3, +4.",oxidation
. Which of the following has the maximum number of unpaired electrons? A. Mg2+ B. Fe2+ C. Ti3+ D. V3+,Mg2+ = 1s2 2s2 2p6 = no unpaired electron Ti3+ = 1s2 2s2 2p6 3p6 3d1 = one unpaired electron V3+ = 1s2 2s2 2p6 3s2 3p6 3d2 = two unpaired electron Fe2+ = 1s2 2s2 2p6 3s2 3p6 3d6 = four unpaired electron,electron atomic_structure
The correct order of radii is A. N < Be < B B. F– < O2- < N3- C. Na < Li < K D. Fe3+ < Fe2+ < Fe4+,"The correct order of radii is F– < O2- < N3-. These all are isoelectronic species. They all have 10 electrons. As the negative charge increases, the atomic size increases. Also, the size of isoelectronic decreases with an increase in atomic number.",electron atomic_structure atom
". The electronegativity of the following elements increases in the order A. C, N, Si, P B. N, Si, C, P C. Si, P, C, N","In general, electronegativity increases across a period from left to right and decreases down the group. Si < P < C < N is the correct order of electronegativity.",electron atomic_structure
"Atomic radii of fluorine and neon in Angstrom units are respectively given by: A. 0.72, 1.60 B. 1.60, 1.60 C. 0.72, 0.72 D. None of these values","The atomic radii of fluorine and neon in the Angstrom unit are 0.72 and 1.60. The atomic radii generally decrease across the period due to an increase in the effective nuclear charge with the increase in the atomic number. The outer electrons go to the same valance shell, hence, it results in the increased attraction of electrons to the nucleus. The non-bonded radii of noble gases are very large due to completely filled orbitals. It is larger than the precedent elements of the same period due to completely filled orbitals and interelectronic repulsion.",electron orbit bond atom atomic_structure
"Identify the correct order of acidic strength of CO2, CuO, CaO, H2O. A. CaO < CuO < H2O < CO2 B. H2O < CuO < CaO < CO2 C. CaO < H2O < CuO < CO2 D. H2O < CO2 < CaO < CuO","CO2 is an acidic oxide, H2O is neutral, CaO is a strong base and CuO is a weak base. Therefore, the order of acid strength is: CaO < CuO < H2O < CO2",acid base
"Amongst the following elements (whose electronic configurations are given below), the one having the highest ionisation energy is. A. [Ne] 3s2 3p1 B. [Ne] 3s2 3p3 C. [Ne] 3s2 3p2 D. [Ar] 3d10 4s2 4s2 4p3","[Ne] 3s2 3p3 has the highest ionisation energy, periodic trend. The ionisation energy increases (with increasing atomic number) along a period and decreases down the group. Also, IE of 15 is more than group 16 as group 15 has a half-filled p subshell giving extra stability.",electron ratio energy atom atomic_structure
"On complete hydrogenation, natural rubber produces. A. Polyethylene B. Ethylene-propylene copolymer C. Polyvinyl chloride D. Polypropylene","On complete hydrogenation, natural rubber produces. A. Polyethylene B. Ethylene-propylene copolymer C. Polyvinyl chloride D. Polypropylene",polymer hydrogen
In the following reactions compound x is;,The compound X is 2-phenylethanol. The triple bond of ethynylbenzene is selectively hydrogenated to double bond by using Lindlar's catalyst to obtain styrene. Hydroboration oxidation of styrene gives 2-phenylethanol (compound X),bond ratio ph oxidation reaction hydrogen catalyst compound
"Isomers of hexane, based on their branching, can be divided into three distinct classes as shown in the figure.","More the branching in an alkane, lesser will be the surface area, lesser will be the boiling point as weaker will be the intermolecular attractive forces.",force isomer base
The bond energy (in kcal mol -1 ) of a C−C single bond is approximately: A. 1 B. 10 C. 100 D. 1000,C-C single bond dissociation energy range is between 88 to 150 Kcal mol1 -1 C-C bond energy = 348J/mol = 348 / 4.2 kcal/mol = 82.85 kcal/mol ≈ 100 kcal/mol,energy bond
The total number of stereoisomers that can exist for M is,The total number of stereoisomers is 2. This molecule can not show geometrical isomerism so only mirror image will be other stereoisomer.,molecule isomer
The total number(s) of stable conformers with non-zero dipole moment for the following compound is (are): A. 2 B. 4 C. 3 D. 5,Three stable (staggered) conformers exist (with μ≠0),compound
"Newman projections P, Q, R and S are shown below: Which one of the following options represents identical molecules? A. P and Q B. Q and S C. Q and R D. R and S",c,molecule
"On monochlorination of 2-methylbutane, the total number of chiral compounds obtained is. A. 2 B. 4 C. 6 D. 8","During the monochlorination of 2 methyl butane, four compounds are possible however only two of them will be chiral in nature. Here, I and III are chiral.",compound
Which of the following reaction produce propane as a major product?,b c,reaction
The correct statement(s) for the following addition reactions is(are)A. O and P are identical molecules B. (M and O) and (N and P) are two pairs of diastereomers C. (M and O) and (N and P) are two pairs of enantiomers D. Bromination proceeds through trans-addition in both the reactions,(B) (M and O) and (N and P) are two pairs of diastereomers. They have the same configuration at one chiral carbon atom and a different configuration at other chiral carbon atoms. ( D ) B r o min a tio n p r o c e e d s t h r o u g h t r a n s - a d ditio n in b o t h r e a c tio n s. It in v olv e s t h e fo r m a tio n o f c y clic b r o m o niu m io n s.,carbon ratio molecule reaction atom
"To measure the quantity of MnCl2 dissolved in an aqueous solution, it was completely converted to KMnO4 using the reaction, MnCl2 + K2S2O8 + H2O → KMnO4 + H2SO4 + HCl (equation not balanced). Few drops of concentrated HCl were added to this solution and gently warmed. Further, oxalic acid (225 g) was added in portions till the colour of the permanganate ion disappeared. The quantity of MnCl2 (in mg) present in the initial solution is _____. (Atomic weights in g mol–1 : Mn = 55, Cl = 35.5)",MnCl2 + K2S2O8 + H2O → KMnO4 + H2SO4 + HCl meq of C2O4 2- = meq of MnO4 - 2 × 225 / 90 = a × 5 ⇒ a = 1 w = 1 × [55+71] = 126 mg,acid equation reaction atom
The difference in the oxidation numbers of the two types of sulphur atoms in Na2S4O6 is:,"The structure of Na2S4O6 is; The oxidation number of sulphur atom involved in coordinate bond formation is (+5) and that of the middle sulphur atom is zero. Hence, the difference in oxidation number of the two types of sulphur atoms will be (+5). ∴ The difference in the O.S of the two types of sulphur atoms is 5 - 0 = 5.",oxidation bond ph atom
For the reaction: I - + ClO -3 + H2SO4 → Cl - + HSO4 - + I2 The correct statement(s) in the balanced equation is/are: A. Stoichiometric coefficient HSO4 - of is 6 B. Iodide is oxidized C. Sulphur is reduced D. H2O is one of the products,"The balanced equation is: 6I - + ClO -3 + 6H2SO4 → Cl - + 6HSO4 - + 3I2 + 3H2O Here you will see that iodine is oxidised and the stoichiometric coefficient of HSO4 - is 6. Additionally, water is formed on the product side.",ph equation reaction
". The pair of compounds having metals in their highest oxidation state is: A. MnO2 , FeCl3 B. [MnO4] - , CrO2Cl2 C. [Fe(CN)6] 3- , [Co(CN)3] D. [NiC14] 2- , [CoC14] -",a. The oxidation state of Mn in MnO2 is +4 The oxidation state of Fe in FeCl3 is +3 b) The oxidation state of Mn in [MnO4] - is +7 The oxidation state of Cr in CrO2Cl2 is +6 c) The oxidation state of Fe in [Fe(CN)6] 3- is +3 The oxidation state of Co in [Co(CN)3] is +3 d) The oxidation state of Ni in [NiC14] 2- is +2 The oxidation state of Co in [CoC14] - is +3,compound oxidation
Consider a titration of potassium dichromate solution with acidified Mohr's salt solution using diphenylamine as an indicator. The number of moles of Mohr's salt required per mole of dichromate is: A. 3 B. 4 C. 5 D. 6,The redox reaction between potassiumdichromate and Mohr's salt is: 6Fe 2+ + Cr2O7 2- + 14H + → 6Fe 3+ + 2Cr 3+ + 7H2O Mohr’s salt: Fe2SO4 .(NH4)2SO4 .6H2O Dichromate will oxidise Fe 2+ from Mohr's salt to Fe 3+ .,acid ratio ph titration reaction
"6. Which ordering of compounds is according to the decreasing order of the oxidation state of nitrogen? A. HNO3 , NO, NH4Cl, N2 B. HNO3 , NO, N2 , NH4Cl C. HNO3 , NH4Cl, NO, N2 D. NO, HNO3 , NH4Cl, N2","Let the oxidation state of nitrogen = x HNO3 : (+1) + X + 2(-3), x = +5 NO: x + (-2), x = +2 NH4CI: X + 4(+1) + (-1), X = -3 N2 : 2x = 0, x = 0 So the correct order will be HNO3 , NO, N2 , NH4Cl",compound oxidation
"Young's modulus of elasticity Y is expressed in terms of three derived quantities, namely, the gravitational constant G, Planck's constant h and the speed of light c, as Y = ca h b G g . Which of the following is the correct option ?","Sol. Y chG ab g = ML T (LT ) (ML T ) (M L T ) - - -a -b - - g 1 2 1 2 1 13 2 = 1 = b – g ...(1) –1 = a + 2b + 3g ...(2) –2 = – a – b – 2g ...(3) –3 = b + g 1 = b – g –2 = 2b Þ b = –1, g = –2 –1 = a – 2 – 6 \\ a = 7",optics modern physics elastic modulus gravitation
"A particle of mass m is moving in the xy-plane such that its velocity at a point (x, y) is given as =a + ( ) ˆ ˆ 2 r v yx xy , where a is a non-zero constant. What is the force r F acting on the particle ?",Sol. v (yx 2xy) =a +ˆ ˆ r x v y = a y v 2x = a dvx dy 2 2 x dt dt =a = a y 2 x dv 2v 2 y dt =a =a 2 \\= =a + F ma 2m (xx yy),mechanics
"An ideal gas is in thermodynamic equilibrium. The number of degrees of freedom of a molecule of the gas in n. The internal energy of one mole of the gas is Un and the speed of sound in the gas is vn. At a fixed temperature and pressure, which of the following is the correct option ?","Sol. 1 frT U fnrT 2 2 = = \\ A and B are wrong. sound RT 2 RT v 1 M fM g æ ö = =+ ç ÷ è ø Þ more 'f', less 'v' 5 7",thermodynamics waves fluid mechanics energy ideal_gas
"A thin circular coin of mass 5 gm and radius 4/3 cm is initially in a horizontal xy-plane. The coin is tossed vertically up (+ݖ direction) by applying an impulse of –2 10 N-s 2 p ´ at a distance 2/3 cm from its center. The coin spins about its diameter and moves along the +ݖ direction. By the time the coin reaches back to its initial position, it completes ݊ rotations. The value of n is ____. [Given: The acceleration due to gravity g = 10 ms–2]",(30) Sol. J = mv ......(1) Jr = Icw ........(2) JC = 1 mR2 4 ........(3) 2v t g = ........(4) q= p =w 2N t .......(5) \\ N = 30,mechanics
"A string of length 1 m and mass 2 × 10–5 kg is under tension T. when the string vibrates, two successive harmonics are found to occur at frequencies 750 Hz and 1000 Hz. The value of tension T is _______ Newton.",(5) Sol. = l P T f 2 µ P T 750 2 = m ......(1) P1T 1000 2 + = m .....(2) 4 P1 3 P + = \\ P = 3 Þ 1000 = 5 4 T 2 2 10- ´ \\ T =5N,mechanics
"In a radioactive decay process, the activity is defined as d d = - N A t , where N(t) is the number of radioactive nuclei at time t. Two radioactive sources, S1 and S2 have same activity at time t = 0. At a later time, the activities of S1 and S2 are A1 and A2, respectively. When S1 and S2 have just completed their 3rd and 7th half-lives, respectively, the ratio A1 /A2 is __________.",(16) Sol. 1 2 0 0 1 2 S S t0A A t AA = = t ( ) ( ) ( ) ( ) ( ) ( ) 1/2 1 1/2 2 t/ t 3 01 4 t/ t 7 2 0 A 0.5A 0.5 2 16,modern physics
"A train with cross-sectional area St is moving with speed 𝑣𝑡 inside a long tunnel of cross-sectional area S0 (S0 = 4St). Assume that almost all the air (density ) in front of the train flows back between its sides and the walls of the tunnel. Also, the air flow with respect to the train is steady and laminar. Take the ambient pressure and that inside the train to be p0. If the pressure in the region between the sides of the train and the tunnel walls is p, then p0−p= 2 t 7 v 2N . The value of 𝑁 is ________.","(9) sol.Applying Bernoulli's equation      2 2 0 t 1 1 P v P v 2 2      2 2 0 t 1 P P v v 2 ….. (i) From equation of continuity Also,     t t t t 4 4Sv v 3S v v3 …. (ii) From (i) and (ii)             2 2 2 t 0 t t 7v 1 16 1 P P v v 2 9 2 9  N = 9",thermodynamics fluid mechanics
"Two large circular discs separated by a distance of 0.01 m are connected to a battery via a switch as shown in the figure. Charged oil drops of density 900 kg m−3 are released through a tiny hole at the center of the top disc. Once some oil drops achieve terminal velocity, the switch is closed to apply a voltage of 200 V across the discs. As a result, an oil drop of radius 8×10−7 m stops moving vertically and floats between the discs. The number of electrons present in this oil drop is ________. (neglect the buoyancy force, take acceleration due to gravity =10 ms−2 and charge on an electron (e) = 1.6×10–19 C)",6 Sol.     4 V 200 E 2 10V/m d 0.01 When terminal velocity is achieved qE = mg               3 19 4 7 4 n 1.6 10 2 10 8 10 900 10 3  n 6,mechanics electromagnetism modern physics fluid mechanics
"A rod of mass 𝑚 and length 𝐿, pivoted at one of its ends, is hanging vertically. A bullet of the same mass moving at speed 𝑣 strikes the rod horizontally at a distance 𝑥 from its pivoted end and gets embedded in it. The combined system now rotates with angular speed 𝜔 about the pivot. The maximum angular speed 𝜔𝑀 is achieved for 𝑥 = 𝑥𝑀. The","(A,C,D) soln.by the angular momentum conservation about the suspension point.          2 2 m mvx mx 3     2 2 2 mvx 2vx m 3x mx 3 For maximum    d 0 dx  M x 3 So the  V 3 2",mechanics conservation momentum
"Two identical non-conducting solid spheres of same mass and charge are suspended in air from a common point by two non-conducting, massless strings of same length. At equilibrium, the angle between the strings is 𝛼. The spheres are now immersed in a dielectric liquid of density 800 kg m−3 and dielectric constant 21. If the angle between the strings remains the same after the immersion, then",",C Sol. The net electric force on any sphere is lesser but by Coulomb law the force due to one sphere to another remain the same. T /2 /2 F mg In equilibrium   Tcos mg 2 and   Tsin F 2 After immersed is dielectric liquid. As given no change in angle . So     Tcos mg Vg 2 when  = 800 Kg/m3 and   r F Tsin2 e     r mg mg Vg F F e 12    r 1 1 e d d = density of sphere   1 800 1 21 d d = 840",mechanics electromagnetism fluid mechanics
"A spherical bubble inside water has radius 𝑅. Take the pressure inside the bubble and the water pressure to be 𝑝0. The bubble now gets compressed radially in an adiabatic manner so that its radius becomes (𝑅−𝑎). For 𝑎≪𝑅 the magnitude of the work done in the process is given by (4𝜋𝑝0𝑅𝑎2)X, where 𝑋 is a constant and =𝐶𝑝/𝐶𝑉 = 41/30. The value of 𝑋 is________.",(2.05) Sol.    2 avg W ( P) 4Ra  2 dP .4Ra 2 {for small change (P)avg <P> arithmetic mean} =        2 0 P P PV c dP dV 4 Ra V V =      2 2 0 P 4 Ra 4 Ra 2V =       2 2 0 3 P 4 Ra 4 Ra 2 4 R = (4pRP × a2) 3 2 x 2.05,mechanics thermodynamics fluid mechanics
Two capacitors with capacitance values C1 = 2000 ± 10 pF and 𝐶2 = 3000 ± 15 pF are connected in series. The voltage applied across this combination is 𝑉 = 5.00 ± 0.02 V. The percentage error in the calculation of the energy stored in this combination of capacitors is _______.,(1.30) Sol.   2 1 2 1 2 1 CC U V 2C C Let  1 2 eq 1 2 CC C C C      eq eq 1 1 2 2 1 1 1 C C C C C C          1 2 1 2 2 1 eq eq 1 2 1 2 CC C C C C C C C C C C =               12 1200 1 1200 25 1 5000 16 =               1 1 12001 100 200         eq eq C U 2V 100 100 100 U C V =     1 0.02 100 2 100 200 5 = 1.3 %,electromagnetism dimensional analysis energy capacitance
"A cubical solid aluminium (bulk modulus =−𝑉dP dV = 70 GPa) block has an edge length of 1 m on the surface of the earth. It is kept on the floor of a 5 km deep ocean. Taking the average density of water and the acceleration due to gravity to be 103 kg m−3 and 10 ms−2, respectively, the change in the edge length of the block in mm is _____.",(0.23 TO 0.24) Sol.  dV 3da V a       dP V( gh) gh B V a dV dV 3da        3 9 1 5000 10 10 1 70 10 3 da      2 5 da a 10 m 2.38mm 21,mechanics fluid mechanics modulus
"A container with 1 kg of water in it is kept in sunlight, which causes the water to get warmer than the surroundings. The average energy per unit time per unit area received due to the sunlight is 700Wm−2 and it is absorbed by the water over an effective area of 0.05 m2. Assuming that the heat loss from the water to the surroundings is governed by Newton’s law of cooling, the difference (in ℃) in the temperature of water and the surroundings after a long time will be _____________. (Ignore effect of the container, and take constant for Newton’s law of cooling = 0.001 s−1, Heat capacity of water = 4200 J kg−1 K−1)",(8.33) Sol.  4 4 0 dQ eA(T T) dt ....(i)                       4 4 4 4 0 0 0 0 dQ T e (T T) T) T 1 1 Adt T =                 4 0 0 T e T 1 4 1 T R = 5 1  R = 10 2  V = 5V 1 V = 20V 2 M = 5mH L = 10mH 1 L = 20mH 2 1  18    3 0 dQ eT 4 T Adt ....(ii) Now from equ. (i)  4 4 0 dT ms eT(T T) dt    4 4 0 0 dT eA [(T T) T] dt ms =                    4 4 0 0 eA T T 1 1 ms T     4 0 dT eAT 4 T dt ms   dT e T dt ;         3 0 4 eAT K ms   3 0 K 4 eAT (ms) A from equ. (i)     3 0 dQ e T 4 T Adt 700 = (K/A) (ms) T           2 3 700 5 10 50 25 T 10 4200 6 3 T = 8.33,thermodynamics optics dimensional analysis energy
"A light disc made of aluminium (a nonmagnetic material) is kept horizontally and is free to rotate about its axis as shown in the figure. A strong magnet is held vertically at a point above the disc away from its axis. On revolving the magnet about the axis of the disc, the disc will (figure is schematic and not drawn to scale)-","Sol. When the magnet is moved, it creates a state where the plate moves through the magnetic flux, due to which an electromotive force is generated in the plate and eddy currents are induced. These currents are such that it opposes the relative motion  disc will rotate in the direction of rotation of . magnet.",mechanics thermodynamics electromagnetism optics flux
"A small roller of diameter 20 cm has an axle of diameter 10 cm (see figure below on the left). It is on a horizontal floor and a meter scale is positioned horizontally on its axle with one edge of the scale on top of the axle (see figure on the right). The scale is now pushed slowly on the axle so that it moves without slipping on the axle, and the roller starts rolling without slipping. After the roller has moved 50 cm, the position of the scale will look like (figures are schematic and not drawn to scale)-","Sol. For no slipping at the ground, Vcentre = R (R is radius of roller)  Velocity of scale = (Vcenter + r) (D) [r is radius of axle] Given, Vcenter · t = 50 cm  Distance moved by scale = (Vcenter + r)t = Therefore relative displacement (with respect to centre of roller) is (75 – 50) cm = 25 cm.    center center center V r V t R = 3V ·t   = 75 cm",mechanics
"A circular coil of radius R and N turns has negligible resistance. As shown in the schematic figure, its two ends are connected to two wires and it is hanging by those wires with its plane being vertical. The wires are connected to a capacitor with charge Q through a switch. The coil is in a horizontal uniform magnetic field Bo parallel to the plane of the coil. When the switch is closed, the capacitor gets discharged through the coil in a very short time. By the time the capacitor is discharged fully, magnitude of the angular momentum gained by the coil will be (assume that the discharge time is so short that the coil has hardly rotated during this time)-",Sol. Torque experienced by circular loop = MB where M is magnetic moment B   is magnetic field   = iR2N B0 [at the instant shown  = /2]  dt = dL = iR2NB0 dt = QR2N B0 [idt = Q],mechanics electromagnetism magnetic_field momentum resistance
"An open-ended U-tube of uniform cross-sectional area contains water (density 103kg m−3). Initially the water level stands at 0.29 m from the bottom in each arm. Kerosene oil (a water-immiscible liquid) of density 800 kg m−3 is added to the left arm until its length is 0.1 m, as shown in the schematic figure below. The ratio 1 2 h h       of the heights of the liquid in the two arms is-","Sol. h1 + h2 = 0.29 × 2 + 0.1 h1 + h2 = 0.68 ……(1)     0 k w 1 P g(0.1) g(h 0.1) [k = density of kerosene & w = density of water]   w 2 0 gh P  k w 1 w g(0.1) gh g (0.1)     = w 2 gh   800 × 10 × 0.1 + 1000 × 10 × h1 – 1000 × 10 × 0.1 = 1000 × 10 × h2  10000 (h1 – h2) = 200  h1 – h2 = 0.02 ……(2)  1 h 0.35   2 h 0.33  So, 1 2 h 35 h 33 ",fluid mechanics
"A particle of mass m moves in circular orbits with potential energy V(r)=𝐹𝑟, where F is a positive constant and r is its distance from the origin. Its energies are calculated using the Bohr model. If the radius of the particle’s orbit is denoted by R and its speed and energy are denoted by v and E, respectively, then for the nth orbit (here h is the Planck’s constant)-","(B,C) Sol. U = Fr [Using U = Potential energy and v = velocity, to avoid confusion between their symbols]  Force = dU dr = – F  Magnitude of force = Constant = F  F = 2 mv R ……(1)  mvR = nh 2 ……(2)  F = 2 2 2 2 2 m nh 1 R 4 mR     R = 1/3 2 2 2 n h 4 mF        ……(3)  v = nh 2 mR  7  v = 1/3 2 2 2 nh 4 mF 2 m n h          1/3 1/3 1/3 1/3 1/3 2/3 n h F v 2 m   ……(4) (B) is correct  2 1 E mv U 2   2 1mv FR 2  2/3 2/3 2/3 2/3 2/3 4/3 1 n h F E m2 2 m         + 1/3 2 2 2 n h F 4 mF                        1/3 2 2 2 2 nhF 1 E 1 4 m 2 1/3 2 2 2 2 3 nhF 2 4 m        ",mechanics modern physics energy
"The filament of a light bulb has surface area 64 mm2. The filament can be considered as a black body at temperature 2500 K emitting radiation like a point source when viewed from far. At night the light bulb is observed from a distance of 100 m. Assume the pupil of the eyes of the observer to be circular with radius 3 mm. Then (Take Stefan-Boltzmann constant = 5.67 × 10−8 Wm−2 K−4, Wien’s displacement constant = 2.90 × 10−3 m-K, Planck’s constant = 6.63 × 10−34 Js, speed of light in vacuum= 3.00 × 108 ms−1)-",",C,D Sol. A = 64 mm2, T = 2500 K (A = surface area of filament, T = temperature of filament, d is distance of bulb from observer, Re = radius of pupil of eye) Point source d = 100 m Re = 3mm (A) P = AeT4 = 5.67 × 10–8 × 64 × 10–6 × 1 × (2500)4 (e = 1 black body) = 141.75 w Option (A) is wrong (B) Power reaching to the eye   2 e 2 P R 4 d    3 2 2 141.75 (3 10 ) 4 (100)      = 3.189375 × 10–8 W Option (B) is correct (C) m T = b m × 2500 = 2.9 × 10–3  m = 1.16 × 10–6 = 1160 nm Option (C) is correct (D) Power received by one eye of observer = hc       ×  N  N = Number of photons entering into eye per second  3.189375 × 10–8 = 34 8 9 6.63 10 3 10 1740 10       ×  N   N = 2.79 × 1011 Option (D) is correct",mechanics thermodynamics optics waves modern physics
